default
ロリ巨乳バニー,Shortstack Bunny
わたしのロリ巨乳おっぱい、\nそんな、ふにゃあってなっちゃうぐらい気持ちよかったですか？\nくすくす❤とどめをささなくてよかったですね❤,
もしとどめをさしてたら、\nこのおっぱいは味わえなかったんです。\nあはん❤ぱふぱふ❤ぱふぱふ❤,
うっ、ううっ❤きもちいい❤きもちいいぃ・・・❤❤❤,
あは、武器も地面にからんって落ちちゃいましたね❤\n大事な武器よりおっぱいを選んじゃって、\nくすくす❤かわいらしいお客さんです❤,
あれあれー、わたしにかわいらしいって言われて、\nおちんちんビクビクさせちゃうんですか？\nこんなにちっちゃい子に言われてるのに悔しくないんですね❤,
それとも悔しいと気持ちよくなっちゃうマゾさんなんでしょうか❤\nかわいい❤よわい❤おっぱいに負けちゃうマーゾ❤,
くすくす❤馬鹿にされるたびに、びくんびくん❤\nいじめる言葉に敏感なおちんちんさんですねー❤,
敏感でよわーいおちんちんさんは、\n触られなくても射精しちゃいそうです❤\nでもわたしは優しいから膝で少し気持ちよくしてあげます❤,
ほら、ぱふぱふしながら膝でぐりぐりぐり❤\n優しいおっぱいの気持ちよさと、\nマゾちんちんをいじめる膝のグリグリで頭真っ白になってください❤,
はぐぅうっ❤あへぇあっ❤❤❤,
はひぃ・・・・❤❤,
やん❤脚にどくどくってかかっちゃいました❤\n魔力がたっぷり溶けた、おいしい精液ですね❤,
って、あはは❤地面でびくんびくんってまだ震えてます❤\nぱふぱふされながらの膝コキ、そんなによかったですか？\n試合を捨ててよかったですねー❤,
って、あはは❤地面でびくんびくんってまだ震えてます❤\nぱふぱふされながらの膝コキ、そんなによかったですか？\n仲間を裏切ってよかったですねー❤,
お客さんもお強いですね。\nわたしのおっぱいに負けずに、そんなに頑張れるなんて、\nあん、みなさんかっこいいです❤,
んふ、でも、あなたのおちんちんも限界が近そうですね❤\n勃起してヒクヒクしてるの、隠せてませんよ❤,
さっきのお仲間さんも、わたしのご奉仕を受けて射精しちゃいました。\nお客さんだけ我慢する必要なんてないんです❤,
ほら、おっぱいたぷたぷ～❤あは～ん❤\n別にこんな試合ぐらい、一回負けてもいいでしょ？\nわたしと気持ちいいことしましょうよー❤,
お客さんのご要望を教えてください❤\nパイズリとぱふぱふ、どっちでヌキヌキしてほしいですか？,
男の人ってみんなそうです❤\nわたしより強くて大きな体を持っているのに、\nこのおっぱいをゆさゆさってしたら理性がぐらぁってしちゃって…❤,
足も手もかたまっちゃって動けなくなるんです❤\n血液ぜーんぶおちんちんに行っちゃって、\n頭も体も働かなくなるんでしょうか❤,
ほら、あなたがとどめをささないおかげで味わえる、\nわたしの爆乳おっぱいですよ。\nあはーん❤ぱふぱふ❤ぱふぱふ❤,
武器が地面にからんって落ちちゃいましたね❤\n大事な武器よりおっぱいを選んじゃって、\nくすくす❤かわいらしいお客さんです❤,
って、あはは❤地面でびくんびくんってまだ震えてます❤\nぱふぱふされながらの膝コキ、そんなによかったですか？\n仲間を裏切って試合を捨ててよかったですねー❤,
オナニーで負けちゃいましたね❤\nおっぱいにどぴゅどぴゅエナジー無駄撃ちできて、満足しましたか？\nロリコンのマスターさん❤,
ぱふぱふされて膝でいじめられて、\nマゾなマスターさんにはぴったりの負け方でしたね❤\n逆転負け、カッコ悪かったですよ❤くすくす❤,
パイズリで逆転負けしてどうですか？\n悔しそうには見えない蕩け顔しちゃってます❤\nくすくす❤,
あん❤おっぱいちゅーちゅーしただけで射精しちゃいました❤\nちっちゃい女の子のおっぱいをちゅーちゅーするの、\nそんなに気に入っちゃいましたか？くすくす❤,
あはん❤谷間の中にたくさん出てます❤\nわたしのおっぱいでずりずりずり❤\n気持ちよかったですか？くすくす❤,
くすくす❤おっぱい見せつけられて暴発しちゃいましたね❤\n触ってないのにどぴゅどぴゅって出しちゃって、\n恥ずかしいマスターさんです❤,
背の低いバニーガールにエナジーを搾り取られた僕は、自分の身体を支えられなくなり地面に膝をついていた。,
はぁい、楽勝楽勝大勝利♪\n男相手だとほんと楽よねー。\nこんな下級モンスターで圧勝できちゃうんだもん。,
おっぱいがでかければ、力の強さとかなーんにも関係ない。\nちっちゃい体におっきいおっぱい、それがたまらないんでしょ？\nゆさゆさ～ってしてればそれだけで勝てちゃう❤,
ううっ…。くそぉ…。,
なにか文句あるわけ？\nこのロリコンマゾ❤\n言い訳するなら、そのチンポ小さくしてから言いなさいよ❤,
さっきからわたしのモンスターのおっぱいチラチラ見ちゃってさ。\n見てるのバレてるわよ。ぷっ、くすくす❤,
あ～ん、エッチな目で見てくれてうれしいです❤\nほらぁ、もっと見てください❤,
谷間を腕で寄せあげて、むぎゅうってアピールしちゃいます❤\nあはーん❤,
うぐぅっ❤❤えろすぎるよぉ…❤❤,
ぷっ、くすくす❤\nバカみたいね❤男ってほんとバカばっかり❤,
ほら、{自分}、\nこのバカな男の間抜けな姿を、観客にもっと見せてあげなさい❤\nいつかまた戦うかもしれないし、おっぱいに弱くしちゃいましょ❤,
期待のルーキーくんの無様な姿。\nこういうのがわたしのファンには人気があるのよ❤\nついでにバトルで使った分の魔力も補充させてもらうわ。,
くす❤あんなことわたしのマスターに言われてるのに、\nぜんぜん逃げようともしないんですね❤,
さっき谷間をむぎゅって見せられたせいで、\n脳みそしびれちゃいましたか？\nわたしのおっぱいで思い通りに操られて、マスターさん弱すぎです❤,
ほらぁ、そんなぽーっとした顔でわたしのこと見てたら、\nおちんちん、おっぱいで食べられちゃいますよー❤\nずぷずぷずぷ～❤,
はへぇっ・・❤❤やわらかいぃ・・・❤❤,
くすくす❤挟まれただけでエッチな声が漏れちゃいますね❤,
さっきもそうでした。強いはずの連勝マスターさんなのに、\nおちんちんはとってもよわくて驚いちゃいます❤,
って、あれあれ、どうしたんですか？\n腰を細かくふるわせて…。,
あっ、ああっ・・・❤だめ、きもちよすぎてぇ・・・❤❤,
やん❤どろどろの精液がおっぱいにたくさん出ちゃってます❤\nぷぷっ、挟まれただけでもう出しちゃったんですか？,
バトル中に射精したばかりなのに、\nこんなにすぐ出すなんて、\nほんとに早漏さんですね❤くすくす❤,
マスターさんの出した精液がローション代わりになって\nわたしのパイズリもっと気持ちよくなっちゃいますよ❤\nほら、ほら・・・❤,
あひぃ❤いまっ、びんかんだからぁっ❤❤,
うふふ、だいじょうぶですよ。\nわたしのおっぱいはとっても柔らかいので、\nイったばっかりでもやさしーく搾りとっちゃうんです❤,
敏感おちんちんを、上から押しつぶして、\nずりずり♪ずりずり❤\nいっぱいとろけちゃってください❤,
先っぽからむにゅうって谷間の中に入れられて、\n根元までずぽずぽ❤\nおちんちんさん、気持ちいいですねー❤,
あうっ❤あううっ❤やわらかくて、ぬるぬるでぇ❤\nきもちいいっ・・・❤❤❤,
ですよね❤ですよね❤\nこんなに気持ちいいパイズリされちゃったら、\nもう普通の人間相手じゃ満足できないですよね❤,
わたしのマスターぐらいパイズリテクがあれば別ですけど、\n世の中の貧乳の女の子じゃ、\nあなたはもう満足できません❤,
わたしみたいな背の小さい子にズリズリしてもらわないと、\nずーっとおちんちんがイライラしちゃう体にされちゃったんです❤,
まともな人生送れなくなっちゃうと思いますけど、\n悔しいですか？\nそれとも・・・❤,
こんな気持ちいいパイズリに出会えて、\nうれしいですか？\nんふふ❤,
あぎぃっ❤あっ❤ああっ、おかしくなるっ、おかしくなるからぁ❤\nダメ、はげしくされるとっ❤❤❤,
いいんですよ❤たっぷりおかしくなりましょう？,
わたしのマスターからも、\nあなたをおっぱいに弱くするよう命令されたので、\nたっぷりおかしくなってくれるとわたしも嬉しいんです❤,
ほらほらぁ、激しいわたしのパイズリでおちんちんいじめられて、\n頭の中が気持ちよさで壊れちゃう❤\n精液どんどん上ってきて、あん、我慢できない❤,
出ちゃう❤出ちゃう❤\n三回目なのに、簡単に搾り取られちゃう❤\nあはん、出して、出してくださ～い❤きゃははは❤,
はへぇっ❤やばい、これやばい…❤こしがぬけて❤あへぇあ…❤❤,
腰が抜ける前からどうせ逃げなかったじゃないですか。\nだから別におんなじですよ❤,
おっぱいでカラカラに搾られて、\nなんにもできないぐらい魔力を奪われても別にいいんです❤\n誰もあなたが逆転できるなんて思ってませんよ❤,
ほらほら、おっぱい再スタートです❤\nバニーガールのパイズリご奉仕、たくさん楽しんでください❤,
はぐぅっ❤きもちいい、きもちいいぃ・・・❤❤❤,
ぬるぬるのおっぱいで、ぱんぱんぱん♪っていっぱいパイズリ❤\nあなたの情けない姿を見て、\nわたしのマスターのファンも、大盛り上がりです❤,
このまま気絶するまでパイズリで搾りつくしてあげますからね❤\nいっぱい喘いで、みんなを楽しませてください❤\nそれがわたしのサービスへのお代です❤,
もし試合外でこのサービスを受けたかったら、\nたくさんお金が必要ですから、\nむしろあなたはラッキーかもしれません❤,
昇格戦はパーになっちゃいましたけど、\nこんなに気持ちいいんですもん、\n別にいいですよね？,
よくないっ❤❤かたないと、ぼくは勝たないとっ・・・❤❤❤,
はいはい❤口先ばっかりの勝利へのプライド、\nおっぱいでどろどろに溶かされちゃってください❤,
ほら、またおっぱい早くしちゃいますよ❤\nずりずりずり～❤,
あひっあぐぅっ❤❤❤うぁっ、ああっ、また、でるっ❤❤でちゃうっ❤,
いいですよ❤\nいっぱい出してもっとおっぱいをぬるぬるにしてください❤,
気持ちよくなって、\nおっぱいに弱くなって、\nもっともっとおかしくなるんです❤ほら、ほら、ほら❤,
あはん❤射精しすぎて、マスターさん気絶しちゃいました❤,
意識はないのにびくんびくんって体が痙攣してる…❤\nふふ、おもしろいですね❤,
これだけ搾り取られたのに、\nまだおっぱいの間におちんちんずぼずぼしたいんでしょうか❤\n空中に向けてヘコヘコヘコ♪ぷぷっ、みなさん笑っていますよ❤,
闘技場でカラカラになるまで搾り取られ、醜態をさらしてしまった僕は、プライドがすっかりボロボロになってしまった。,
闘技場の医務室で目を覚ましたあとも、恥ずかしさで周りの人に見られるのが耐えられない。僕は顔を隠しながらそそくさと宿屋へ逃げ帰ったのだった。,
キャミーと戦うまでは、連勝記録を持ち、周囲から期待のルーキーなんて呼ばれていたというのに…。,
しかし、こんな状況に陥ってすら、僕は今日の試合を後悔することができなかった。体に深く刻まれた快楽は、宿屋に戻ってからもうずきつづけ、敗北を悔しがるよりも先にムラムラが思考を支配してしまう。,
カードマスターとしてそんな考え方でいいはずがない。それは分かっているはずなのに…。,
試合から数日後,
あら？誰かと思えば、この間のマゾルーキーじゃない。\nわたしの試合のあとに待ち伏せするなんて、\nなにか用？,
ううっ・・・。それは・・・。,
ぷぷっ、だいじょうぶ。だいじょうぶ。\nわかってるわよ。\nわたしと一回やった相手でアンタみたいになっちゃう奴多いんだから。,
この子にまたおっぱいでいじめてほしくなっちゃったんでしょ？\n出なさい、<{自分}>を召喚。,
こんにちはー。今日は観戦ありがとうございました❤\n観客の中にあなたがいて、\nわたしの方をあつい視線で見てたの、気づいてましたよ❤,
とくにこのおっぱい❤\nわたしがちょっと前かがみになるたびに、\n食い入るように見ちゃってて、くすくす❤おかしかったです❤,
あん❤ちょっと言葉でからかってあげただけで、\nおちんちんギンギンになっちゃってますね❤\nこんな人の多いところで勃起して、恥ずかしくないんですか？,
もっともっと勃起しちゃいます？\nほらほらぁ、谷間を腕で強調してぇ、\nあはーん❤ゆさゆさゆさ～❤,
はぐううっ❤❤えろすぎるぅ・・・❤❤,
こら、あんまりやりすぎると移動できなくなるでしょ。\nこういうマゾはほんとチンポ弱いんだから。\n加減しなさい。,
さて、それじゃ積もる話もあるでしょうし、\nわたしの控室まで来なさい。\nそこでたっぷりこの子にサービスさせてあげる❤,
代わりにアンタが持ってる色んなもの、\nわたしがたっぷりいただくわよ。\nお金にレアカード、それに・・・。,
奴隷代わりに働いてもらうのもいいかしら♪\nあんた魔力は良質みたいだし、\nこの子を召喚した分の魔力ならお釣りがくるでしょうね。,
ふふ、いい奴隷が手に入っちゃった❤\nそれじゃ、詳しい話はわたしの部屋で、ね・・・❤,
その後、{自分プレイヤー}の部屋で{自分}のご奉仕を受けた僕は、完全に{自分}に依存するようになってしまった。,
小さな体に不釣り合いな彼女の胸で挟んでもらうためなら、僕はカードもお金もすべてキャミーにささげてしまった。,
クエストも闘技場の試合もただただ{自分}に会うためだけにこなし、キャミーのために買い物や色々な小間使いに奔走する日々。,
それだけしても時折しか{自分}を召喚してもらえることはなかったが、僕は{自分}にすっかりメロメロになっていて、何も不満に思うことはなかった。,
こうして妹を探すための主人公の冒険は終わりを迎え、残りの人生を胸が大きいことだけが取り柄のCランクマスターの奴隷として過ごすことになるのであった。,
